Text,label
" Top Trump Surrogate BRUTALLY Stabs Him In The Back: ‘He’s Pathetic’ (VIDEO) It s looking as though Republican presidential candidate Donald Trump is losing support even from within his own ranks. You know things are getting bad when even your top surrogates start turning against you, which is exactly what just happened on Fox News when Newt Gingrich called Trump  pathetic. Gingrich knows that Trump needs to keep his focus on Hillary Clinton if he even remotely wants to have a chance at defeating her. However, Trump has hurt feelings because many Republicans don t support his sexual assault against women have turned against him, including House Speaker Paul Ryan (R-WI). So, that has made Trump lash out as his own party.Gingrich said on Fox News: Look, first of all, let me just say about Trump, who I admire and I ve tried to help as much as I can. There s a big Trump and a little Trump. The little Trump is frankly pathetic. I mean, he s mad over not getting a phone call? Trump s referring to the fact that Paul Ryan didn t call to congratulate him after the debate. Probably because he didn t win despite what Trump s ego tells him.Gingrich also added: Donald Trump has one opponent. Her name is Hillary Clinton. Her name is not Paul Ryan. It s not anybody else. Trump doesn t seem to realize that the person he should be mad at is himself because he truly is his own worst enemy. This will ultimately lead to his defeat and he will have no one to blame but himself.Watch here via Politico:Featured Photo by Joe Raedle/Getty Images",Fake
"U.S. conservative leader optimistic of common ground on healthcare WASHINGTON (Reuters) - Republicans in the U.S. House of Representatives could achieve common ground on a deal to win support for healthcare legislation on Thursday, after President Donald Trump intervened in negotiations, a conservative leader said on Wednesday. “We’re not there yet, but we’re very optimistic that if we work around the clock between now and Noon tomorrow, that we’re going to be able to hopefully find some common ground,” Representative Mark Meadows, chairman of the conservative House Freedom Caucus, told reporters. Meadows’ group has opposed House Republican healthcare legislation up to now and threatened earlier in the day to block its passage in a Thursday vote.  ",Real
"Trump proposes U.S. tax overhaul, stirs concerns on deficit WASHINGTON (Reuters) - President Donald Trump proposed on Wednesday the biggest U.S. tax overhaul in three decades, calling for tax cuts for most Americans, but prompting criticism that the plan favors business and the rich and could add trillions of dollars to the deficit. The proposal drew a swift, skeptical response from Senator Bob Corker, a leading Republican “fiscal hawk,” who vowed not to vote for any federal tax package financed with borrowed money. “What I can tell you is that I’m not about to vote for any bill that increases our deficit, period,” Corker, who said on Tuesday he would not seek re-election in 2018, told reporters. Trump said his tax plan was aimed at helping working people, creating jobs and making the tax code simpler and fairer. But it faces an uphill battle in the U.S. Congress with Trump’s own Republican Party divided over it and Democrats hostile. The plan would lower corporate and small-business income tax rates, reduce the top income tax rate for high-earning American individuals and scrap some popular tax breaks, including one that benefits people in high-tax states dominated by Democrats. Forged during months of talks among Trump’s aides and top congressional Republicans, the plan contained few details on how to pay for the tax cuts without expanding the budget deficit and adding to the nation’s $20 trillion national debt. The plan still must be turned into legislation, which was not expected until after Congress makes progress on the fiscal 2018 budget, perhaps in October. It must then be debated by the Republican-led congressional tax-writing committees. Analysts were skeptical that Congress could approve a tax bill this year, but that is what Republicans hope to achieve so they can enter next year’s congressional election campaigns with at least one legislative achievement to show for 2017. Financial markets rallied on the plan’s unveiling, an event long anticipated by traders betting that stocks would benefit from both faster economic growth and inflation. At an event in Indianapolis, Trump called the plan the largest tax cut in U.S. history. “We want tax reform that is pro-growth, pro-jobs, pro-worker, pro-family and, yes, tax reform that is pro-American,” he said. The real estate mogul-turned-politician, who promised big tax cuts as a candidate, told reporters he personally would not gain financially from the proposal. “I think there’s very little benefit for people of wealth,” said Trump, who unlike many of his White House predecessors, has refused to make public his own tax returns. Republicans have produced no major legislative successes since Trump took office in January, even though they control the White House and both chambers of Congress. Their top legislative priority, overhauling the U.S. healthcare system, collapsed again in the Senate on Tuesday. A comprehensive rewrite of the U.S. tax code has eluded previous presidents and Congress for decades. The last one was passed in 1986 under Republican President Ronald Reagan. Trump’s plan falls short of the sweeping, bipartisan package crafted by Reagan and congressional Democrats, analysts said. The White House said that, under the proposal, typical middle-class families would have less income subject to federal tax. Trump said the first $12,000 earned by an individual and the first $24,000 by a married couple would be tax-free. The plan would lower the top individual tax rate, paid by the nation’s top earners, to 35 percent from 39.6 percent. It would lower the top corporate income tax rate to 20 percent from the current 35 percent. The existing rate is high globally, but many U.S.-based multinationals pay much less than the headline rate because of abundant loopholes and tax breaks. Trump has appealed to Democrats to back the plan, although they were not consulted in drafting it. Republicans hold a thin 52-48 Senate majority and may need some Democratic support to win passage. But Democrats said the plan would expand the federal deficit in order to deliver tax cuts to wealthy Americans rather than the middle-class families that Trump and Republicans say they are trying to help.  “If this framework is all about the middle class, then Trump Tower is middle-class housing,” said Senator Ron Wyden, the top Democrat on the tax law-writing Senate Finance Committee.      Republican Kevin Brady, chairman of the tax-writing House of Representatives Ways and Means Committee, said he expected tax legislation to be passed by the end of this year. The Committee for a Responsible Federal Budget, a Washington-based policy group, estimated on Wednesday the plan contained about $5.8 trillion of total tax cuts over a decade and would have a net cost of $2.2 trillion through 2027. Analysts have warned huge tax cuts would balloon the deficit if economic growth projected by Republicans to offset the costs fails to materialize amid rising interest rates. ‘PASS-THROUGH’ RATE The plan would set a new 25 percent tax rate for “pass-through” businesses, which are usually small, private enterprises, such as partnerships and sole proprietorships. They represent about 95 percent of all U.S. businesses. Under current law, the profits of those companies “pass through” directly to their owners and are taxed as personal income, often at the top 39.6 percent individual income rate. Cutting that to 25 percent could mean big tax savings for small-business owners, but also be vulnerable to abuse by other individuals and companies, analysts said. Republicans proposed eliminating some tax deductions. They did not target the popular ones for mortgage interest and charitable giving, but called for scrapping the one for state and local tax payments. That could especially hurt people in high-tax states like California and New York. In a step to simplify tax returns, the plan would shrink the current seven tax brackets to three: 12 percent, 25 percent and 35 percent. That would raise the bottom tax rate on low-earning Americans to 12 percent from 10 percent, but analysts said other parts of the plan would still mean a net tax cut. ",Real
" Court Forces Ohio To Allow Millions Of Illegally Purged Voters Back On The Rolls Donald Trump is semi-right: this election might be rigged. However, this election is rigged against the people, not him.Take a look at Ohio, a key battleground state in the never-ending 2016 election. After purging more than two million voters from the roles, a high court smacked down Republican Secretary of State John Hustad for violating the National Voter Registration Act.Hustad s purge, which included some dead people and those who moved out of state, also included those who moved in the same county and those who have not voted in past elections (at least since 2011). Those who were purged were overwhelmingly black, low-income and Democratic voters. A Reuters investigation found that in the state s major cities (Cleveland, Columbus, and Cincinnati) the voters in Democratic-leaning neighborhoods and precincts were illegally purged at twice the rate as in Republican.So, on Wednesday night, while everyone was watching the final presidential debate (in which Trump again claimed the election is rigged against him), the United States District Court for the Southern District of Ohio, at the behest of Republican appointee Judge George C. Smith, ordered the voters   save the dead and moved   back onto the rolls immediately and have their voting rights restored.Judge Smith accused Hustad of voter disenfranchisement, writing:If those who were unlawfully removed from the voter rolls are not allowed to vote, then the Secretary of State is continuing to to disenfranchise voters in violation of federal law.The case was originally heard by the 6th U.S. Circuit Court of Appeals, which also ruled against Hustad, but was sent back to the District Court for a rehearing. Obviously, both courts realized the illegal power grab by the state at the behest of the GOP, and they weren t having it.Time and time again the courts have struck down illegal rigging practices by the Republicans, thus saving the nation from an unbalanced electoral system. Voting is a right in this country, and partisan politicos should not have the power to take it away just because.If anyone can complain about a rigged election, it s Hillary Clinton.Featured image via John Sommers II/Getty Images",Fake
"Democrats say Trump agrees to work on immigration bill, wall in dispute WASHINGTON (Reuters) - President Donald Trump and Democratic leaders in the U.S. Congress have agreed to work together on legislation to protect “Dreamers,” the illegal immigrants who were children when they entered the United States, the lawmakers said on Wednesday, although a dispute erupted over exactly what had been agreed. Following a dinner with Trump at the White House, Senate Democratic leader Chuck Schumer and House of Representatives Democratic leader Nancy Pelosi said the “productive meeting” focused on “DACA,” a program established by former President Barack Obama. “We agreed to enshrine the protections of DACA (Deferred Action for Childhood Arrivals) into law quickly, and to work out a package of border security, excluding the wall, that’s acceptable to both sides,” Schumer and Pelosi said in a statement. All year, Democrats have insisted that they will block any legislation that contains funding for a wall along the length of the U.S. border with Mexico, a top Trump campaign goal that many Republicans in Congress also do not support. While White House officials have suggested legislation on DACA could move forward without wall funding, White House spokeswoman Sarah Sanders disputed the characterization that a deal had been reached to leave it out of any legislation focused on the Dreamers. “While DACA and border security were both discussed, excluding the wall was certainly not agreed to,” she said on Twitter. Throughout his 2016 campaign for president and since taking office in January, Trump has demanded the construction of a wall to keep out illegal immigrants and drugs. He initially said Mexico would pay for the wall but has requested money from the U.S. Congress after the government of Mexico refused to pay. The dinner was the latest effort in a new initiative by Trump to work with opposition party Democrats on major legislation. Following the dinner, a White House official said the president, Schumer and Pelosi discussed tax reform, immigration, border security, infrastructure investments and trade as part of Trump’s bid to reach out to Democrats. “The administration looks forward to continuing these conversations with leadership on both sides of the aisle,” the official said. Over a dinner of Chinese food, Trump and the Democratic leaders also discussed issues related to U.S.-China trade, according to a congressional aide briefed on the meeting. Schumer and Pelosi also said that they urged Trump to make permanent government subsidy payments under the Affordable Care Act, also known as “Obamacare.” “Those discussions will continue,” the lawmakers said. Trump and most Republicans in Congress have demanded the repeal of Obamacare but have been unable to agree on a replacement for the healthcare program that became law in 2010. Using his executive powers, Trump canceled Obama’s DACA program in which about 800,000 undocumented young people have escaped the threat of deportation and been able to apply for work permits in the United States. Trump argued that Obama over-stepped his authority in creating the program. But Trump gave Congress six months to come up with a replacement program in the form of legislation to be enacted into law. Democratic Representative Henry Cuellar, who attended a White House meeting with Trump earlier on Wednesday, told reporters the president said he would not insist on wall funding as part of a Dreamers bill, but would pursue it on other, future legislation. Cuellar said Trump urged lawmakers to link a Republican bill to cut legal immigration to the United States with protections for Dreamers. But many Democrats oppose lowering the cap on annual legal immigration. ",Real
"France says pressure needed to stop North Korea crossing next nuclear hurdle PARIS (Reuters) - France said on Wednesday it was imperative the United Nations Security Council apply more pressure on North Korea to prevent it jumping another hurdle toward an effective nuclear weapons capacity that could lead to a dangerous military escalation. Amid heightened tension on the Korean peninsula, North Korea has escalated a war of words with the United States, warning of full-out nuclear war if Washington takes military action against it over its nuclear and missile ambitions. “We have to avoid all military escalation,” Foreign Minister Jean-Marc Ayrault told LCP television. “This threatens nuclear proliferation in the region, but also directly threatens North America. It’s a major danger.” Ayrault, who was in China last week and whose country has no diplomatic representation in North Korea, said it appeared that Beijing was increasingly worried by the behavior of its neighbor. “China is scared of chaos and destabilization of the regime that would result in millions of refugees in the region so we can make progress through international pressure ... sanctions and discussions between the Security Council members to take measures,” he said.  U.S. Vice President Mike Pence said on Wednesday that Washington would work with its allies and China to put economic and diplomatic pressure on North Korea but added that America would defeat any attack with an “overwhelming response”. “There is no time to lose because all of the money North Korea has is being used for nuclear investment and research which would enable the country to jump another hurdle,” he said. ",Real
"Trump on Twitter (August 8): Opioid crisis, North Korea The following statements were posted to the verified Twitter accounts of U.S. President Donald Trump, @realDonaldTrump and @POTUS.  The opinions expressed are his own. Reuters has not edited the statements or confirmed their accuracy.  @realDonaldTrump : - I will be holding a major briefing on the Opioid crisis, a major problem for our country, today at 3:00 P.M. in Bedminster, N.J. [0711 EDT] - After many years of failure, countries are coming together to  finally address the dangers posed by North Korea. We must be tough & decisive! [0717 EDT] - E-mails show that the AmazonWashingtonPost and the FailingNewYorkTimes were reluctant to cover the Clinton/Lynch secret meeting in plane. [1400 EDT] - After 200 days, rarely has any Administration achieved what we have achieved..not even close! Don’t believe the Fake News Suppression Polls! [1410 EDT] -- Source link: (bit.ly/2jBh4LU) (bit.ly/2jpEXYR) ",Real
" BUSTED: Trump Supporter Used Poll Watcher Credentials To Force Early Voters To Leave Polling Place Clearly, there is no low Trump supporters won t stoop in the effort to get him elected president.Ever since the Republican nominee told his deplorable supporters that the election is  rigged  and that they should become poll watchers there has been multiple incidents of voter intimidation, voter suppression, and voter fraud by Trump supporters and even an act of violence against a polling place.And another Trump supporter just got caught trying to intimidate early voters into leaving an Arkansas polling place.Thus far, early voting has benefited Hillary Clinton and that s a big deal with only four days left until Election Day. So Jefferson County Election Commission Stu Soffer, who is a Trump supporter, used his poll watcher credentials and stood in a doorway to yell at early voters at the Pine Bluff polling location to leave. Shut up and go home,  Soffer yelled while blocking the entrance to the voting booths according to Jefferson County Clerk Patricia Johnson and a voter named Victor who did not get to cast his ballot because of Soffer s interference. As a result of the disruption and confusion caused by Stu Soffer and other Republicans   I was not able to cast my ballot that day,  Victor said.According to attorney Chris Burke, who represents Victor in the lawsuit filed against Soffer,  Mr. Soffer stood in the doorway of the early-voting location and told voters to shut up and go home. As a result, Victor and many other voters were unable to cast their votes that day. This is deeply troubling to the voters of Jefferson County and also to the election administrators whose job it is to administer the elections free of fear and intimidation,  Burke added.This is just the latest incident of a Trump supporter trying to rig the election for Donald Trump.In Green Bay, Wisconsin a city clerk tried to deny a request for an extra polling place near the local university solely on the grounds that she believes college students are more likely to vote for Democrats.In Iowa, a Trump supporter literally got caught trying to vote twice and was arrested.And a right-wing group is creating fake badges so they can infiltrate polling places in order to intimidate voters on Election Day for Trump.These incidents, including this recent one in Arkansas prove that Trump supporters are trying to rig the election for their candidate and it s only going to get worse in the days ahead, especially on Election Day as conservatives desperately try to secure a victory for the Republican nominee by hook or by crook.Featured Image: Facebook",Fake
"Fatal Niger operation sparks calls for public hearings in Congress WASHINGTON (Reuters) - Democratic U.S. lawmakers called on Thursday for public hearings on an attack in Niger that killed four U.S. soldiers, saying there were still many unanswered questions about the ambush despite receiving more information from the Pentagon. Two top Department of Defense officials, Robert Karem, assistant secretary for international security affairs, and Major General Albert Elton, deputy director for special operations and counterterrorism, conducted a closed briefing on the ambush for members of the Senate Armed Services Committee. Senator John McCain, the Republican chairman of the committee, said he was pleased with the briefing. McCain last week threatened to issue a subpoena because the White House had not been forthcoming about details about the attack. “I am pleased at the cooperation we’re getting now,” McCain told reporters. McCain said there were still many unanswered questions, most notably why it took 48 hours before the body of Sargent La David Johnson was recovered. “What was the strategy; why were we surprised? There’s 100 questions that need to be answered,” McCain said. The issue has also generated a political firestorm. President Donald Trump was harshly criticized for his handling of a call with Myeshia Johnson, Johnson’s widow, who said the Republican president “made me cry even worse” by saying her husband had known “what he signed up for.” Senator Richard Blumenthal, a Democratic committee member, said he wanted public hearings on the matter to explain to the U.S. public why the country has 6,000 troops posted in Africa and provide more information about the ambush. “I need to be able to look families in the eye and explain what our mission is, what mistakes were made in this incident, and were mistakes made, who made them and why,” Blumenthal told reporters after the briefing. “Most important, there need to be public hearings,” he said. McCain said he would decide whether to hold public hearings depending on what happened with the military’s investigation, citing security concerns about making anything public too soon. “We can’t betray sensitive information that would put the lives of these men and women in danger,” McCain said. On Monday, General Joseph Dunford, the chairman of the military’s Joint Chiefs of Staff, held an hour-long news conference during which he sought to tamp down criticism that the Pentagon had released too little information about the deaths of the soldiers. [L2N1MY1MD] ",Real
"Trump says he has 'great heart' for immigrant 'Dreamers' WASHINGTON (Reuters) - U.S. President Donald Trump said on Tuesday he has “great heart” for illegal immigrants brought to the United States as children and he wants Congress to produce a legislative solution for them. “I have a great heart for the folks we’re talking about, a great love for them,” Trump said after his administration announced earlier Tuesday it was phasing out a program that protects the so-called Dreamers from deportation. “I can tell you in speaking to members of Congress they want to be able to do something and do it right and really we have no choice,” Trump told reporters. ",Real
